it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
811,60,26,9, 25, 22,38
812,60,26,9, 25, 22,38
813,60,26,9, 25, 22,38
814,60,26,9, 25, 22,38
815,60,26,9, 25, 22,38
816,61,27,9, 25, 23,38
817,61,27,9, 25, 23,38
818,61,27,9, 25, 23,38
819,61,27,9, 25, 23,38
820,61,27,9, 25, 23,38
821,61,27,9, 25, 23,38
822,61,27,9, 25, 23,38
823,61,27,9, 25, 23,38
824,62,27,9, 26, 24,38
825,62,27,9, 26, 24,38
826,62,27,9, 26, 24,38
827,62,27,9, 26, 24,38
828,62,27,9, 26, 24,38
829,63,28,9, 26, 25,38
830,63,28,9, 26, 25,38
831,63,28,9, 26, 25,38
832,63,28,9, 26, 25,38
833,63,28,9, 26, 25,38
834,63,28,9, 26, 25,38
835,63,28,9, 26, 25,38
836,63,28,9, 26, 25,38
837,63,28,9, 26, 25,38
838,63,28,9, 26, 25,38
839,63,28,9, 26, 25,38
840,63,28,9, 26, 25,38
841,63,28,9, 26, 25,38
842,63,28,9, 26, 25,38
843,63,28,9, 26, 25,38
844,63,28,9, 26, 25,38
845,63,28,9, 26, 25,38
846,63,28,9, 26, 25,38
847,63,28,9, 26, 25,38
848,63,28,9, 26, 25,38
849,63,28,9, 26, 25,38
850,63,28,9, 26, 25,38
