it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
376,46,15,8, 23, 8,38
377,46,15,8, 23, 8,38
378,46,15,8, 23, 8,38
379,46,15,8, 23, 8,38
380,46,15,8, 23, 8,38
381,46,15,8, 23, 8,38
382,47,16,8, 23, 9,38
383,47,16,8, 23, 9,38
384,47,16,8, 23, 9,38
385,47,16,8, 23, 9,38
386,47,16,8, 23, 9,38
387,47,16,8, 23, 9,38
388,47,16,8, 23, 9,38
389,47,16,8, 23, 9,38
390,47,16,8, 23, 9,38
391,47,16,8, 23, 9,38
392,47,16,8, 23, 9,38
393,47,16,8, 23, 9,38
394,47,16,8, 23, 9,38
395,47,16,8, 23, 9,38
396,47,16,8, 23, 9,38
397,47,16,8, 23, 9,38
398,47,16,8, 23, 9,38
399,47,16,8, 23, 9,38
400,47,16,8, 23, 9,38
401,47,16,8, 23, 9,38
402,47,16,8, 23, 9,38
403,47,16,8, 23, 9,38
404,47,16,8, 23, 9,38
405,47,16,8, 23, 9,38
406,47,16,8, 23, 9,38
407,47,16,8, 23, 9,38
408,47,16,8, 23, 9,38
409,47,16,8, 23, 9,38
410,47,16,8, 23, 9,38
411,47,16,8, 23, 9,38
412,47,16,8, 23, 9,38
413,47,16,8, 23, 9,38
414,47,16,8, 23, 9,38
415,47,16,8, 23, 9,38
416,47,16,8, 23, 9,38
417,47,16,8, 23, 9,38
418,47,16,8, 23, 9,38
419,47,16,8, 23, 9,38
420,47,16,8, 23, 9,38
421,47,16,8, 23, 9,38
422,47,16,8, 23, 9,38
423,48,17,8, 23, 10,38
424,48,17,8, 23, 10,38
425,48,17,8, 23, 10,38
426,48,17,8, 23, 10,38
427,48,17,8, 23, 10,38
428,48,17,8, 23, 10,38
429,48,17,8, 23, 10,38
430,48,17,8, 23, 10,38
431,48,17,8, 23, 10,38
432,48,17,8, 23, 10,38
433,48,17,8, 23, 10,38
434,48,17,8, 23, 10,38
435,48,17,8, 23, 10,38
436,48,17,8, 23, 10,38
437,48,17,8, 23, 10,38
438,48,17,8, 23, 10,38
439,48,17,8, 23, 10,38
440,48,17,8, 23, 10,38
441,48,17,8, 23, 10,38
442,48,17,8, 23, 10,38
443,48,17,8, 23, 10,38
444,48,17,8, 23, 10,38
445,48,17,8, 23, 10,38
446,48,17,8, 23, 10,38
447,48,17,8, 23, 10,38
448,48,17,8, 23, 10,38
449,48,17,8, 23, 10,38
450,48,17,8, 23, 10,38
451,48,17,8, 23, 10,38
452,48,17,8, 23, 10,38
453,49,17,8, 24, 11,38
454,49,17,8, 24, 11,38
455,49,17,8, 24, 11,38
456,49,17,8, 24, 11,38
457,49,17,8, 24, 11,38
458,49,17,8, 24, 11,38
459,49,17,8, 24, 11,38
460,49,17,8, 24, 11,38
461,49,17,8, 24, 11,38
462,49,17,8, 24, 11,38
463,49,17,8, 24, 11,38
464,49,17,8, 24, 11,38
465,49,17,8, 24, 11,38
466,49,17,8, 24, 11,38
467,49,17,8, 24, 11,38
468,49,17,8, 24, 11,38
469,49,17,8, 24, 11,38
470,49,17,8, 24, 11,38
471,49,17,8, 24, 11,38
472,49,17,8, 24, 11,38
473,49,17,8, 24, 11,38
474,49,17,8, 24, 11,38
475,49,17,8, 24, 11,38
476,49,17,8, 24, 11,38
477,49,17,8, 24, 11,38
478,49,17,8, 24, 11,38
479,49,17,8, 24, 11,38
480,49,17,8, 24, 11,38
481,49,17,8, 24, 11,38
482,49,17,8, 24, 11,38
483,49,17,8, 24, 11,38
484,49,17,8, 24, 11,38
485,49,17,8, 24, 11,38
486,49,17,8, 24, 11,38
487,49,17,8, 24, 11,38
488,49,17,8, 24, 11,38
489,49,17,8, 24, 11,38
490,49,17,8, 24, 11,38
491,49,17,8, 24, 11,38
492,49,17,8, 24, 11,38
493,49,17,8, 24, 11,38
494,49,17,8, 24, 11,38
495,49,17,8, 24, 11,38
496,49,17,8, 24, 11,38
497,49,17,8, 24, 11,38
498,50,17,8, 25, 12,38
499,50,17,8, 25, 12,38
500,50,17,8, 25, 12,38
501,50,17,8, 25, 12,38
502,50,17,8, 25, 12,38
503,50,17,8, 25, 12,38
504,50,17,8, 25, 12,38
505,50,17,8, 25, 12,38
506,50,17,8, 25, 12,38
507,50,17,8, 25, 12,38
508,50,17,8, 25, 12,38
509,50,17,8, 25, 12,38
